Organization,Agency,Service,Subservice,Location
10110 - ASSESSOR RESIDENTIAL,10 -  ASSESSOR,101 -  ASSESSOR,1010 -  RESIDENTIAL,0000 -  UNDEFINED
10120 - ASSESSOR PERSONAL PROPERTY,10 -  ASSESSOR,101 -  ASSESSOR,1020 -  PERSONAL PROPERTY,0000 -  UNDEFINED
10130 - ASSESSOR COMMERCIAL,10 -  ASSESSOR,101 -  ASSESSOR,1030 -  COMMERCIAL,0000 -  UNDEFINED
10140 - ASSESSOR TAX ROLL PREPARATION,10 -  ASSESSOR,101 -  ASSESSOR,1040 -  TAX ROLL PREPARATION,0000 -  UNDEFINED
10150 - ASSESSOR BOARD OF REVIEW,10 -  ASSESSOR,101 -  ASSESSOR,1050 -  BOARD OF REVIEW,0000 -  UNDEFINED
1100 - BS GENERAL,00 -  UNDEFINED,000 -  UNDEFINED,0000 -  UNDEFINED,0000 -  UNDEFINED
110010 - GENERAL PURPOSE REVENUE,00 -  UNDEFINED,000 -  UNDEFINED,0000 -  UNDEFINED,0000 -  UNDEFINED
110020 - GENERAL FUND EXPENSE,00 -  UNDEFINED,000 -  UNDEFINED,0000 -  UNDEFINED,0000 -  UNDEFINED
11100 - ATTY ORDINANCE ENFORCEMENT,11 -  ATTORNEY,111 -  ORDINANCE ENFORCEMENT,0000 -  UNDEFINED,0000 -  UNDEFINED
11200 - ATTY LEGISLATIVE SERVICES,11 -  ATTORNEY,112 -  LEGISLATIVE SERVICES,0000 -  UNDEFINED,0000 -  UNDEFINED
11300 - ATTY COUNSEL REPRESENTATION,11 -  ATTORNEY,113 -  COUNSEL AND REPRESENTATION,0000 -  UNDEFINED,0000 -  UNDEFINED
12005001 - LIBRARY CAPITAL OUTLAY,50 -  LIBRARY,000 -  UNDEFINED,0000 -  UNDEFINED,0000 -  UNDEFINED
12100 - CIVIL RIGHTS,12 -  CIVIL RIGHTS,121 -  CIVIL RIGHTS,0000 -  UNDEFINED,0000 -  UNDEFINED
13100 - CLERK,13 -  CLERK,131 -  CLERK,0000 -  UNDEFINED,0000 -  UNDEFINED
14100 - COMMON COUNCIL,14 -  COMMON COUNCIL,141 -  COMMON COUNCIL,0000 -  UNDEFINED,0000 -  UNDEFINED
14100601 - COMMON COUNCIL DIST 1,14 -  COMMON COUNCIL,141 -  COMMON COUNCIL,0000 -  UNDEFINED,0601 -  ALDER DISTRICT 1
14100602 - COMMON COUNCIL DIST 2,14 -  COMMON COUNCIL,141 -  COMMON COUNCIL,0000 -  UNDEFINED,0602 -  ALDER DISTRICT 2
14100603 - COMMON COUNCIL DIST 3,14 -  COMMON COUNCIL,141 -  COMMON COUNCIL,0000 -  UNDEFINED,0603 -  ALDER DISTRICT 3
14100604 - COMMON COUNCIL DIST 4,14 -  COMMON COUNCIL,141 -  COMMON COUNCIL,0000 -  UNDEFINED,0604 -  ALDER DISTRICT 4
14100605 - COMMON COUNCIL DIST 5,14 -  COMMON COUNCIL,141 -  COMMON COUNCIL,0000 -  UNDEFINED,0605 -  ALDER DISTRICT 5
14100606 - COMMON COUNCIL DIST 6,14 -  COMMON COUNCIL,141 -  COMMON COUNCIL,0000 -  UNDEFINED,0606 -  ALDER DISTRICT 6
14100607 - COMMON COUNCIL DIST 7,14 -  COMMON COUNCIL,141 -  COMMON COUNCIL,0000 -  UNDEFINED,0607 -  ALDER DISTRICT 7
14100608 - COMMON COUNCIL DIST 8,14 -  COMMON COUNCIL,141 -  COMMON COUNCIL,0000 -  UNDEFINED,0608 -  ALDER DISTRICT 8
14100609 - COMMON COUNCIL DIST 9,14 -  COMMON COUNCIL,141 -  COMMON COUNCIL,0000 -  UNDEFINED,0609 -  ALDER DISTRICT 9
14100610 - COMMON COUNCIL DIST 10,14 -  COMMON COUNCIL,141 -  COMMON COUNCIL,0000 -  UNDEFINED,0610 -  ALDER DISTRICT 10
14100611 - COMMON COUNCIL DIST 11,14 -  COMMON COUNCIL,141 -  COMMON COUNCIL,0000 -  UNDEFINED,0611 -  ALDER DISTRICT 11
14100612 - COMMON COUNCIL DIST 12,14 -  COMMON COUNCIL,141 -  COMMON COUNCIL,0000 -  UNDEFINED,0612 -  ALDER DISTRICT 12
14100613 - COMMON COUNCIL DIST 13,14 -  COMMON COUNCIL,141 -  COMMON COUNCIL,0000 -  UNDEFINED,0613 -  ALDER DISTRICT 13
14100614 - COMMON COUNCIL DIST 14,14 -  COMMON COUNCIL,141 -  COMMON COUNCIL,0000 -  UNDEFINED,0614 -  ALDER DISTRICT 14
14100615 - COMMON COUNCIL DIST 15,14 -  COMMON COUNCIL,141 -  COMMON COUNCIL,0000 -  UNDEFINED,0615 -  ALDER DISTRICT 15
14100616 - COMMON COUNCIL DIST 16,14 -  COMMON COUNCIL,141 -  COMMON COUNCIL,0000 -  UNDEFINED,0616 -  ALDER DISTRICT 16
14100617 - COMMON COUNCIL DIST 17,14 -  COMMON COUNCIL,141 -  COMMON COUNCIL,0000 -  UNDEFINED,0617 -  ALDER DISTRICT 17
14100618 - COMMON COUNCIL DIST 18,14 -  COMMON COUNCIL,141 -  COMMON COUNCIL,0000 -  UNDEFINED,0618 -  ALDER DISTRICT 18
14100619 - COMMON COUNCIL DIST 19,14 -  COMMON COUNCIL,141 -  COMMON COUNCIL,0000 -  UNDEFINED,0619 -  ALDER DISTRICT 19
14100620 - COMMON COUNCIL DIST 20,14 -  COMMON COUNCIL,141 -  COMMON COUNCIL,0000 -  UNDEFINED,0620 -  ALDER DISTRICT 20
15100 - FIN ACCOUNTING,15 -  FINANCE,151 -  ACCOUNTING,0000 -  UNDEFINED,0000 -  UNDEFINED
15110 - FIN ACCOUNTING PAYROLL,15 -  FINANCE,151 -  ACCOUNTING,1510 -  PAYROLL,0000 -  UNDEFINED
15111 - FIN ACCOUNTING PURCHASING,15 -  FINANCE,151 -  ACCOUNTING,1511 -  PURCHASING,0000 -  UNDEFINED
15200 - FIN BUDGET AND PROGRAM MGMT,15 -  FINANCE,152 -  BUDGET & PRGM MGMT,0000 -  UNDEFINED,0000 -  UNDEFINED
15230 - FIN INTERNAL AUDIT,15 -  FINANCE,152 -  BUDGET & PRGM MGMT,1530 -  INTERNAL AUDIT,0000 -  UNDEFINED
15300 - FIN RISK MGMT,15 -  FINANCE,153 -  RISK MGMT,0000 -  UNDEFINED,0000 -  UNDEFINED
15400 - FIN ADMIN SUPPORT,15 -  FINANCE,154 -  ADMINISTRATIVE SUPPORT,0000 -  UNDEFINED,0000 -  UNDEFINED
16100 - HR SERVICES,16 -  HUMAN RESOURCES,161 -  HR SERVICES,0000 -  UNDEFINED,0000 -  UNDEFINED
16200 - HR EMPLOYEE & LABOR RELATIONS,16 -  HUMAN RESOURCES,162 -  EMPLOYEE & LABOR RELATIONS,0000 -  UNDEFINED,0000 -  UNDEFINED
16300 - HR ORGANIZATIONAL & HEALTH DEV,16 -  HUMAN RESOURCES,163 -  ORGANIZATIONAL & HEALTH DEVEL,0000 -  UNDEFINED,0000 -  UNDEFINED
17100 - IT APPLICATION DEVELOP SUPPORT,17 -  INFORMATION TECHNOLOGY,171 -  APPLICATION DEV AND SUPPORT,0000 -  UNDEFINED,0000 -  UNDEFINED
17200 - IT TECHNICAL SERVICES,17 -  INFORMATION TECHNOLOGY,172 -  TECHNICAL SERVICES,0000 -  UNDEFINED,0000 -  UNDEFINED
19100 - MAYOR,19 -  MAYOR,191 -  MAYOR,0000 -  UNDEFINED,0000 -  UNDEFINED
20100 - MUNICIPAL COURT,20 -  MUNICIPAL COURT,201 -  COURT SERVICES,0000 -  UNDEFINED,0000 -  UNDEFINED
21100 - TREASURER,21 -  TREASURER,211 -  TREASURER,0000 -  UNDEFINED,0000 -  UNDEFINED
22100 - EMPLOYEE ASSISTANCE PROGRAM,22 -  EMPLOYEE ASSISTANCE PROGRAM,221 -  EAP SERVICES,0000 -  UNDEFINED,0000 -  UNDEFINED
29100 - CITY WIDE MISCELLANEOUS,29 -  CITY WIDE MISCELLANEOUS,291 -  CITY WIDE MISCELLANEOUS,0000 -  UNDEFINED,0000 -  UNDEFINED
29310 - DIRECT APPROPRIATION HEALTH,29 -  CITY WIDE MISCELLANEOUS,000 -  UNDEFINED,0000 -  UNDEFINED,0000 -  UNDEFINED
30110 - FIRE GEN FIELD OP,30 -  FIRE,301 -  FIRE OPERATIONS,3010 -  GENERAL FIELD OPERATIONS,0000 -  UNDEFINED
30110701 - FIRE GEN FIELD OP STATION 1,30 -  FIRE,301 -  FIRE OPERATIONS,3010 -  GENERAL FIELD OPERATIONS,0701 -  FIRE STATION 1
30110702 - FIRE GEN FIELD OP STATION 2,30 -  FIRE,301 -  FIRE OPERATIONS,3010 -  GENERAL FIELD OPERATIONS,0702 -  FIRE STATION 2
30110703 - FIRE GEN FIELD OP STATION 3,30 -  FIRE,301 -  FIRE OPERATIONS,3010 -  GENERAL FIELD OPERATIONS,0703 -  FIRE STATION 3
30110704 - FIRE GEN FIELD OP STATION 4,30 -  FIRE,301 -  FIRE OPERATIONS,3010 -  GENERAL FIELD OPERATIONS,0704 -  FIRE STATION 4
30110705 - FIRE GEN FIELD OP STATION 5,30 -  FIRE,301 -  FIRE OPERATIONS,3010 -  GENERAL FIELD OPERATIONS,0705 -  FIRE STATION 5
30110706 - FIRE GEN FIELD OP STATION 6,30 -  FIRE,301 -  FIRE OPERATIONS,3010 -  GENERAL FIELD OPERATIONS,0706 -  FIRE STATION 6
30110707 - FIRE GEN FIELD OP STATION 7,30 -  FIRE,301 -  FIRE OPERATIONS,3010 -  GENERAL FIELD OPERATIONS,0707 -  FIRE STATION 7
30110708 - FIRE GEN FIELD OP STATION 8,30 -  FIRE,301 -  FIRE OPERATIONS,3010 -  GENERAL FIELD OPERATIONS,0708 -  FIRE STATION 8
30110709 - FIRE GEN FIELD OP STATION 9,30 -  FIRE,301 -  FIRE OPERATIONS,3010 -  GENERAL FIELD OPERATIONS,0709 -  FIRE STATION 9
30110710 - FIRE GEN FIELD OP STATION 10,30 -  FIRE,301 -  FIRE OPERATIONS,3010 -  GENERAL FIELD OPERATIONS,0710 -  FIRE STATION 10
30110711 - FIRE GEN FIELD OP STATION 11,30 -  FIRE,301 -  FIRE OPERATIONS,3010 -  GENERAL FIELD OPERATIONS,0711 -  FIRE STATION 11
