Agency,Organization,Account Type,Character Code,Object,2015,2016,2017,2018
50 -  LIBRARY,50100 - LIB PUBLIC SERVICE,Revenue,41 - GENERAL REVENUES,41110 - REAL ESTATE TAXES,-11355535.00,-11941627.00,-12603779.00,-13080447.90
50 -  LIBRARY,50300 - LIB COL RES & ACCESS,Revenue,41 - GENERAL REVENUES,41110 - REAL ESTATE TAXES,-2056164.00,-2222626.00,-2199357.00,-2268968.77
50 -  LIBRARY,50400 - LIB FACILITIES,Revenue,41 - GENERAL REVENUES,41110 - REAL ESTATE TAXES,-1766869.00,-1768986.00,-1963404.00,-1976738.18
51 -  PARKS,51220 - PARK MTC FORESTRY GENERAL,Revenue,49 - TRANSFER IN,49124 - TRANSFER IN FROM OTHER RESTRIC,-1000000.00,-2500000.00,-3100342.25,0.00
44 -  STREETS,44220 - ST RECYCLING COLLECTION,Revenue,43 - CHARGES FOR SERVICES,43445 - SALE OF RECYCLABLES,-841012.69,-866760.77,-1218608.41,-892803.25
65 -  PLANNING,65300 - PL METROPOLITAN PLANNING ORG,Revenue,49 - TRANSFER IN,49123 - TRANSFER IN FROM GRANTS,-683795.41,-809850.95,0.00,0.00
20 -  MUNICIPAL COURT,20100 - MUNICIPAL COURT,Revenue,43 - CHARGES FOR SERVICES,43120 - COURT FEES,-640286.53,-624340.58,-515025.37,-421899.96
30 -  FIRE,30252 - FIRE INSPECTION ELEVATOR,Revenue,44 - LICENSES AND PERMITS,44230 - ELEVATOR PERMITS AND INSPECTS,-617670.00,-606446.50,-534775.00,-555936.50
40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,58 - INTER DEPART BILLING,58131 - ID BILLING TO POLICE,-531289.00,-533701.00,-536303.00,-611303.00
50 -  LIBRARY,50300751 - LIB COL RES & ACCESS CENTRAL,Revenue,43 - CHARGES FOR SERVICES,43568 - CATALOGING SERVICES,-455858.00,-454255.00,-454255.00,-454290.00
30 -  FIRE,30240 - FIRE GENERAL PREVENTION,Revenue,44 - LICENSES AND PERMITS,44245 - FIRE PERMITS,-396640.00,-416396.06,-401755.00,-553480.00
00 -  UNDEFINED,110020 - GENERAL FUND EXPENSE,Expense,56 - DEBT OTHR FINANCING,56210 - INTEREST,-373356.21,9720.00,0.00,0.00
31 -  POLICE,31100 - POLICE FIELD,Revenue,42 - INTERGOV REVENUES,42310 - LOCAL REVENUES OPERATING,-322131.73,-395157.67,-353798.47,-305447.17
51 -  PARKS,51244 - PARK MTC MALL CONCOURSE,Revenue,45 - FINE FORFEITURE ASMT,45310 - SPEC ASSESSMENTS SERVICE,-319297.72,-440190.38,-446179.57,0.00
50 -  LIBRARY,50300751 - LIB COL RES & ACCESS CENTRAL,Revenue,45 - FINE FORFEITURE ASMT,45210 - LIBRARY FINES,-298453.79,-288495.11,-284246.80,-258666.56
40 -  ENGINEERING,40471 - ENG FAC MAINT BUILDING MAINT,Revenue,43 - CHARGES FOR SERVICES,43710 - REIMBURSEMENT OF EXPENSE,-283244.78,-187678.92,-293240.40,-159333.55
50 -  LIBRARY,50200 - LIB COMM ENGAGE,Revenue,41 - GENERAL REVENUES,41110 - REAL ESTATE TAXES,-274766.00,-355596.00,-149024.00,-452874.92
45 -  TRAFFIC ENGINEERING,45400 - TE COMM,Expense,58 - INTER DEPART BILLING,58130 - ID BILLING TO FIRE,-265582.98,-36300.30,-14247.58,-42653.58
50 -  LIBRARY,50100751 - LIB PUBLIC SERVICE CENTRAL,Revenue,43 - CHARGES FOR SERVICES,43562 - SOUTHCENTRAL LIBRARY SERVICES,-264093.00,-266184.00,-266184.00,-266184.00
40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,58 - INTER DEPART BILLING,58130 - ID BILLING TO FIRE,-249692.00,-278213.00,-278163.00,-278163.00
45 -  TRAFFIC ENGINEERING,45500 - TE SIGNALS,Revenue,47 - MISC REVENUE,47190 - MISCELLANEOUS REVENUE,-247200.00,-246400.00,-277600.00,-312000.00
31 -  POLICE,31101 - SPECIAL DUTY,Revenue,43 - CHARGES FOR SERVICES,43225 - SPECIAL DUTY,-231472.68,-300180.37,-438737.93,-421502.68
31 -  POLICE,31100 - POLICE FIELD,Revenue,49 - TRANSFER IN,49123 - TRANSFER IN FROM GRANTS,-225776.85,0.00,0.00,0.00
44 -  STREETS,44111 - ST LARGE ITEMS,Revenue,43 - CHARGES FOR SERVICES,43420 - APPLIANCE COLLECTION,-207961.49,-266092.00,-282497.75,-253944.85
51 -  PARKS,51247 - PARK MTC PARK RANGERS,Revenue,43 - CHARGES FOR SERVICES,43515 - BOAT LAUNCH,-205919.23,-3604.11,0.00,0.00
16 -  HUMAN RESOURCES,16100 - HR SERVICES,Expense,58 - INTER DEPART BILLING,58116 - ID BILLING TO HUMAN RESOURCES,-194523.00,-203142.00,-203142.00,0.00
